Dataset,Model,class_ent,eq_num_attr,gravity,inst_to_attr,nr_attr,nr_bin,nr_class,nr_cor_attr,nr_inst,nr_norm,nr_outliers,ns_ratio,Processing Units Number,Model Capability,Solution Stochasticity,Loss Margin Behaviour,Input Distribution Modelling,Fitting Regime,MCC
DDOS-ANL,GaussianNB,0.5471713450674891,3.6571314380747983,4753849.459785042,55401.74358974359,39,16,5,0.0904183535762483,2160668,0.0,21,19.577752691204036,395,1,1,2,3,1,0.8610782565319745
DDOS-ANL,KNN,0.5471713450674891,3.6571314380747983,4753849.459785042,55401.74358974359,39,16,5,0.0904183535762483,2160668,0.0,21,19.577752691204036,195,4,1,1,2,1,0.925576134795928
DDOS-ANL,LDA,0.5471713450674891,3.6571314380747983,4753849.459785042,55401.74358974359,39,16,5,0.0904183535762483,2160668,0.0,21,19.577752691204036,975,2,1,1,4,1,0.8781691942172215
DDOS-ANL,LR,0.5471713450674891,3.6571314380747983,4753849.459785042,55401.74358974359,39,16,5,0.0904183535762483,2160668,0.0,21,19.577752691204036,200,3,1,2,1,2,0.8694569412928984
DDOS-ANL,LightGBM_ExtraTrees,0.5471713450674891,3.6571314380747983,4753849.459785042,55401.74358974359,39,16,5,0.0904183535762483,2160668,0.0,21,19.577752691204036,18300,9,5,2,1,2,0.925616340846636
DDOS-ANL,LightGBM_RF,0.5471713450674891,3.6571314380747983,4753849.459785042,55401.74358974359,39,16,5,0.0904183535762483,2160668,0.0,21,19.577752691204036,18300,9,4,2,1,2,0.9257596080439106
DDOS-ANL,LinearSVC,0.5471713450674891,3.6571314380747983,4753849.459785042,55401.74358974359,39,16,5,0.0904183535762483,2160668,0.0,21,19.577752691204036,200,3,1,4,1,2,0.8908609214115937
DDOS-ANL,MLP,0.5471713450674891,3.6571314380747983,4753849.459785042,55401.74358974359,39,16,5,0.0904183535762483,2160668,0.0,21,19.577752691204036,100,6,2,2,1,3,0.0
DDOS-ANL,PassiveAggressive,0.5471713450674891,3.6571314380747983,4753849.459785042,55401.74358974359,39,16,5,0.0904183535762483,2160668,0.0,21,19.577752691204036,200,3,2,4,1,4,0.8768053369222396
DDOS-ANL,Perceptron,0.5471713450674891,3.6571314380747983,4753849.459785042,55401.74358974359,39,16,5,0.0904183535762483,2160668,0.0,21,19.577752691204036,200,3,2,5,1,4,0.8694837997943338
DDOS-ANL,QDA,0.5471713450674891,3.6571314380747983,4753849.459785042,55401.74358974359,39,16,5,0.0904183535762483,2160668,0.0,21,19.577752691204036,4095,2,1,1,5,1,0.8260339496736001
DDOS-ANL,Ridge,0.5471713450674891,3.6571314380747983,4753849.459785042,55401.74358974359,39,16,5,0.0904183535762483,2160668,0.0,21,19.577752691204036,200,3,1,1,1,1,0.9196245072292488
DDOS-ANL,SGD,0.5471713450674891,3.6571314380747983,4753849.459785042,55401.74358974359,39,16,5,0.0904183535762483,2160668,0.0,21,19.577752691204036,200,3,2,4,1,3,0.898169996881583
DDOS-ANL,TabICL,0.5471713450674891,3.6571314380747983,4753849.459785042,55401.74358974359,39,16,5,0.0904183535762483,2160668,0.0,21,19.577752691204036,27552258,10,2,2,1,5,0.925793853489034
DDOS-ANL,TabNet,0.5471713450674891,3.6571314380747983,4753849.459785042,55401.74358974359,39,16,5,0.0904183535762483,2160668,0.0,21,19.577752691204036,96,7,2,2,1,3,0.9258016984291436
DDOS-ANL,TabPFN,0.5471713450674891,3.6571314380747983,4753849.459785042,55401.74358974359,39,16,5,0.0904183535762483,2160668,0.0,21,19.577752691204036,53153144,10,2,2,1,5,0.9257468102362404
DDOS-ANL,TabTransformer,0.5471713450674891,3.6571314380747983,4753849.459785042,55401.74358974359,39,16,5,0.0904183535762483,2160668,0.0,21,19.577752691204036,468,7,2,2,1,3,0.9199735197831886
DDOS-ANL,XGBoost,0.5471713450674891,3.6571314380747983,4753849.459785042,55401.74358974359,39,16,5,0.0904183535762483,2160668,0.0,21,19.577752691204036,12700,9,4,2,1,2,0.9258016990260752
